date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,population,aged_65_older,Literacy_rate_india
12/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
1/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,5.989,74.04
