Date,New_Cases,Total_Cases,Recovered_Cases,Active_Cases,new_death,total_death,population,test_kerala,total_test_kerala,literacy_rate_kerala
3/8/2020,0,3,0,0,0,0,34800000,47,729,93.91
3/9/2020,6,9,0,6,0,0,34800000,78,807,93.91
3/10/2020,8,17,0,14,0,0,34800000,173,980,93.91
3/11/2020,0,17,0,14,0,0,34800000,199,1179,93.91
3/12/2020,2,19,0,16,0,0,34800000,198,1377,93.91
3/13/2020,3,22,0,19,0,0,34800000,338,1715,93.91
3/14/2020,0,22,0,19,0,0,34800000,182,1897,93.91
3/15/2020,2,24,0,21,0,0,34800000,250,2147,93.91
3/16/2020,3,27,0,24,0,0,34800000,150,2297,93.91
3/17/2020,0,27,0,24,0,0,34800000,170,2467,93.91
3/18/2020,0,27,0,24,0,0,34800000,83,2550,93.91
3/19/2020,1,28,0,25,0,0,34800000,371,2921,93.91
3/20/2020,12,40,0,37,0,0,34800000,515,3436,93.91
3/21/2020,12,52,0,49,0,0,34800000,280,3716,93.91
3/22/2020,15,67,0,64,0,0,34800000,319,4035,93.91
3/23/2020,28,95,1,91,0,0,34800000,256,4291,93.91
3/24/2020,14,109,0,105,0,0,34800000,225,4516,93.91
3/25/2020,9,118,2,112,0,0,34800000,386,4902,93.91
3/26/2020,19,137,6,125,0,0,34800000,440,5342,93.91
3/27/2020,39,176,0,164,0,0,34800000,337,5679,93.91
3/28/2020,6,182,4,165,1,1,34800000,388,6067,93.91
3/29/2020,20,202,4,181,0,1,34800000,623,6690,93.91
3/30/2020,32,234,0,213,0,1,34800000,301,6991,93.91
3/31/2020,7,241,4,215,1,2,34800000,494,7485,93.91
4/1/2020,24,265,2,237,0,2,34800000,480,7965,93.91
4/2/2020,21,286,2,256,0,2,34800000,491,8456,93.91
4/3/2020,9,295,14,251,0,2,34800000,683,9139,93.91
4/4/2020,11,306,8,254,0,2,34800000,605,9744,93.91
4/5/2020,8,314,6,256,0,2,34800000,477,10221,93.91
4/6/2020,13,327,3,266,0,2,34800000,495,10716,93.91
4/7/2020,9,336,12,262,0,2,34800000,516,11232,93.91
4/8/2020,9,345,13,258,0,2,34800000,754,11986,93.91
4/9/2020,12,357,13,257,0,2,34800000,724,12710,93.91
4/10/2020,7,364,27,237,0,2,34800000,629,13339,93.91
4/11/2020,10,373,19,228,0,2,34800000,824,14163,93.91
4/12/2020,2,375,36,194,0,2,34800000,829,14992,93.91
4/13/2020,3,378,19,178,0,2,34800000,694,15686,93.91
4/14/2020,8,386,13,173,0,2,34800000,552,16238,93.91
4/15/2020,1,387,7,167,0,2,34800000,240,16478,93.91
4/16/2020,7,394,27,147,0,2,34800000,925,17403,93.91
4/17/2020,1,395,10,138,0,2,34800000,629,18032,93.91
4/18/2020,4,399,2,140,0,2,34800000,745,18777,93.91
4/19/2020,2,401,13,129,0,2,34800000,577,19354,93.91
4/20/2020,6,407,21,114,0,2,34800000,405,19759,93.91
4/21/2020,19,426,16,117,0,2,34800000,496,20255,93.91
4/22/2020,11,437,1,127,0,2,34800000,569,20824,93.91
4/23/2020,10,447,8,129,0,2,34800000,513,21337,93.91
4/24/2020,3,450,15,116,1,3,34800000,606,21943,93.91
4/25/2020,7,457,7,116,0,3,34800000,420,22363,93.91
4/26/2020,11,468,4,123,0,3,34800000,594,22957,93.91
4/27/2020,13,481,13,123,0,3,34800000,317,23274,93.91
4/28/2020,4,485,4,123,0,3,34800000,709,23983,93.91
4/29/2020,10,495,10,123,0,3,34800000,972,24955,93.91
4/30/2020,2,497,14,111,0,3,34800000,1021,25976,93.91
5/1/2020,0,497,9,102,0,3,34800000,1177,27153,93.91
5/2/2020,2,499,8,96,0,3,34800000,4033,31186,93.91
5/3/2020,0,499,1,95,0,3,34800000,1034,32220,93.91
5/4/2020,0,499,61,34,0,3,34800000,793,33013,93.91
5/5/2020,3,502,0,37,0,3,34800000,790,33803,93.91
5/6/2020,0,502,7,30,0,3,34800000,799,34602,93.91
5/7/2020,0,502,5,25,0,3,34800000,572,35174,93.91
5/8/2020,1,503,10,16,0,3,34800000,715,35889,93.91
5/9/2020,2,505,1,17,0,3,34800000,762,36651,93.91
