Date,New_Cases,Total_Cases,Recovered_Cases,Active_Cases,new_death,total_death,population,ker_newcase_popul,test_kerala,total_test_kerala,kerela_test_per_thousand,literacy_rate_kerala,,india_total_cases,india_new_cases,india_total_deaths,india_new_deaths,india_total_cases_per_million,india_new_cases_per_million,india_total_deaths_per_million,india_new_deaths_per_million,india_total_tests,india_new_tests,india_test_perday_per thousand,india_total_tests_per_thousand,india_new_tests_per_thousand,india_new_tests_smoothed,india_new_tests_smoothed_per_thousand,india_tests_units,india_stringency_index,india_population,india_newcase_popul,india_population_density,india_aged_65_older,india_aged_70_older,india_diabetes_prevalence,india_Literacy_rate
1/30/2020,1,1,0,1,0,0,34800000,2.87356E-08,0,0,0,93.91,,1,1,0,0,0.001,0.001,0,0,,,0,,0,,,,10.19,1380004385,7.24635E-10,450.419,5.989,3.414,10.39,74.04
1/31/2020,0,1,0,1,0,0,34800000,0,0,0,0,93.91,,1,0,0,0,0.001,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/1/2020,0,1,0,1,0,0,34800000,0,0,0,0,93.91,,1,0,0,0,0.001,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/2/2020,1,2,0,2,0,0,34800000,2.87356E-08,0,0,0,93.91,,2,1,0,0,0.001,0.001,0,0,,,0,,0,,,,10.19,1380004385,7.24635E-10,450.419,5.989,3.414,10.39,74.04
2/3/2020,1,3,0,3,0,0,34800000,2.87356E-08,0,0,0,93.91,,2,0,0,0,0.001,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/4/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,1,0,0,0.002,0.001,0,0,,,0,,0,,,,10.19,1380004385,7.24635E-10,450.419,5.989,3.414,10.39,74.04
2/5/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/6/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/7/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/8/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/9/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/10/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/11/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/12/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/13/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/14/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/15/2020,0,3,0,3,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/16/2020,0,3,2,1,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/17/2020,0,3,0,1,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/18/2020,0,3,0,1,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/19/2020,0,3,0,1,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/20/2020,0,3,1,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/21/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/22/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/23/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/24/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/25/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/26/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/27/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/28/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
2/29/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
3/1/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
3/2/2020,0,3,0,0,0,0,34800000,0,0,0,0,93.91,,3,0,0,0,0.002,0,0,0,,,0,,0,,,,10.19,1380004385,0,450.419,5.989,3.414,10.39,74.04
