Date,Travel ,Person_to_Person
1/30/2020,1,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,0,0
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,0,0
3/9/2020,4,2
3/10/2020,6,2
3/11/2020,0,0
3/12/2020,2,0
3/13/2020,3,0
3/14/2020,0,0
3/15/2020,0,2
3/16/2020,3,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,1
3/20/2020,0,12
3/21/2020,12,0
3/22/2020,15,0
3/23/2020,25,3
3/24/2020,12,2
3/25/2020,6,3
3/26/2020,9,10
3/27/2020,25,14
3/28/2020,0,6
3/29/2020,18,2
3/30/2020,17,15
3/31/2020,0,7
4/1/2020,9,15
4/2/2020,12,9
4/3/2020,0,9
4/4/2020,5,6
4/5/2020,1,7
4/6/2020,7,6
4/7/2020,4,5
4/8/2020,4,5
4/9/2020,1,11
4/10/2020,0,7
4/11/2020,3,7
4/12/2020,2,0
4/13/2020,1,2
4/14/2020,5,3
4/15/2020,0,1
4/16/2020,5,2
4/17/2020,0,1
4/18/2020,3,1
4/19/2020,2,0
4/20/2020,5,1
4/21/2020,17,2
4/22/2020,5,6
4/23/2020,6,4
4/24/2020,0,3
4/25/2020,0,7
4/26/2020,3,8
4/27/2020,6,7
4/28/2020,2,2
4/29/2020,3,7
4/30/2020,1,1
5/1/2020,0,0
5/2/2020,0,0
5/3/2020,0,0
5/4/2020,0,0
5/5/2020,0,3
5/6/2020,0,0
5/7/2020,0,0
5/8/2020,1,0
5/9/2020,2,0
5/10/2020,4,3
5/11/2020,6,1
5/12/2020,5,0
5/13/2020,6,4
5/14/2020,15,11
5/15/2020,13,3
5/16/2020,11,0
5/17/2020,13,1
5/18/2020,28,1
5/19/2020,12,0
5/20/2020,23,1
5/21/2020,24,0
5/22/2020,40,2
5/23/2020,49,13
5/24/2020,48,5
5/25/2020,43,6
5/26/2020,58,9
5/27/2020,37,3
5/28/2020,79,5
5/29/2020,55,7
5/30/2020,43,15
5/31/2020,57,4
