Date,Total_ck,Kudumb_hotels
5/17/20,853,299
5/16/20,901,380
5/15/20,901,380
5/14/20,906,368
5/13/20,909,358
5/12/20,917,367
5/11/20,919,433
5/10/20,941,426
5/9/20,965,420
5/8/20,965,420
5/7/20,978,416
5/6/20,984,408
5/5/20,1009,402
5/4/20,1023,394
5/3/20,911,383
5/2/20,1137,381
5/1/20,1137,381
4/30/20,1142,377
4/29/20,1158,373
4/28/20,1161,360
4/27/20,1172,359
4/26/20,1188,352
4/25/20,1193,351
4/24/20,1199,350
4/23/20,734,350
4/22/20,1172,346
4/21/20,1181,343
4/20/20,1209,339
4/19/20,1205,331
4/18/20,1202,320
4/17/20,1217,318
4/16/20,1229,303
4/15/20,1229,303
4/14/20,1239,295
4/13/20,1243,292
4/12/20,1245,289
4/11/20,1248,284
4/10/20,1246,266
4/9/20,1248,264
4/8/20,1251,255
4/7/20,1259,251
4/6/20,1282,238
4/5/20,1282,238
4/4/20,1314,215
4/3/20,1323,0
4/2/20,1323,0
4/1/20,1325,0
3/31/20,1316,0
3/30/20,1304,0
