Date,tot_hospital,Home_quar,new_hospital
1/30/2020,0,0,0
1/31/2020,0,0,0
2/1/2020,0,0,0
2/2/2020,0,0,0
2/3/2020,0,0,0
2/4/2020,0,0,0
2/5/2020,0,0,0
2/6/2020,0,0,0
2/7/2020,0,0,0
2/8/2020,0,0,0
2/9/2020,0,0,0
2/10/2020,0,0,0
2/11/2020,0,0,0
2/12/2020,0,0,0
2/13/2020,0,0,0
2/14/2020,0,0,0
2/15/2020,0,0,0
2/16/2020,0,0,0
2/17/2020,0,0,0
2/18/2020,0,0,0
2/19/2020,0,0,0
2/20/2020,0,0,0
2/21/2020,0,0,0
2/22/2020,0,0,0
2/23/2020,0,0,0
2/24/2020,0,0,0
2/25/2020,0,0,0
2/26/2020,0,0,0
2/27/2020,0,0,0
2/28/2020,0,0,0
2/29/2020,0,0,0
3/1/2020,13,193,9
3/2/2020,17,276,20
3/3/2020,23,388,12
3/4/2020,31,438,11
3/5/2020,39,508,10
3/6/2020,46,546,14
3/7/2020,63,574,20
3/8/2020,84,648,14
3/9/2020,149,967,85
3/10/2020,259,1236,120
3/11/2020,293,3020,83
3/12/2020,270,3910,65
3/13/2020,277,5191,69
3/14/2020,302,7375,106
3/15/2020,279,9717,67
3/16/2020,270,12470,72
3/17/2020,268,17743,65
3/18/2020,237,25366,57
3/19/2020,237,30936,64
3/20/2020,225,44165,56
3/21/2020,228,52785,70
3/22/2020,314,58981,122
3/23/2020,383,63937,122
3/24/2020,466,71994,164
3/25/2020,532,76010,122
3/26/2020,601,101402,136
3/27/2020,616,109683,112
3/28/2020,620,133750,148
3/29/2020,593,140618,105
3/30/2020,623,156660,126
3/31/2020,658,162471,150
4/1/2020,622,163508,123
4/2/2020,643,165291,145
4/3/2020,706,169291,184
4/4/2020,734,170621,174
4/5/2020,776,157841,188
4/6/2020,795,152009,122
4/7/2020,752,145934,131
4/8/2020,749,139725,169
4/9/2020,723,135472,153
4/10/2020,730,129021,126
4/11/2020,814,122676,201
4/12/2020,816,116125,176
4/13/2020,715,111468,86
4/14/2020,564,106511,81
4/15/2020,522,96942,86
4/16/2020,523,88332,108
4/17/2020,526,78454,84
4/18/2020,504,66686,104
4/19/2020,461,55129,72
4/20/2020,398,45925,62
4/21/2020,332,36335,102
4/22/2020,346,28804,95
4/23/2020,437,23439,148
4/24/2020,482,21243,144
4/25/2020,464,20580,132
4/26/2020,462,19665,99
4/27/2020,489,19812,104
4/28/2020,518,20255,151
4/29/2020,501,20172,84
4/30/2020,426,20285,95
5/1/2020,432,21067,106
5/2/2020,410,21484,80
5/3/2020,388,21332,63
5/4/2020,372,21352,62
5/5/2020,308,21034,86
5/6/2020,268,14402,58
5/7/2020,310,16383,131
5/8/2020,347,19810,127
5/9/2020,334,23596,123
5/10/2020,362,26350,135
5/11/2020,441,27545,157
5/12/2020,473,31143,95
5/13/2020,494,33953,168
5/14/2020,548,36362,174
5/15/2020,538,48287,122
5/16/2020,619,56362,182
5/17/2020,674,61855,159
5/18/2020,473,67316,127
5/19/2020,455,71545,119
5/20/2020,533,73865,155
5/21/2020,527,79611,153
5/22/2020,609,83649,162
5/23/2020,668,90416,182
5/24/2020,732,94662,188
5/25/2020,792,98486,152
5/26/2020,808,103528,186
5/27/2020,892,106940,229
5/28/2020,992,114305,210
5/29/2020,1080,123087,231
5/30/2020,1204,128953,243
5/31/2020,1241,133413,208
