Date,Corporations_Muncipality,Grama Panchayats,Total
26-03-2020,1331,0,1331
27-03-2020,763,290,1053
28-03-2020,2162,407,2569
29-03-2020,2162,350,2512
30-03-2020,2162,407,2569
31-03-2020,2162,498,2660
01/04/20,2329,611,2940
02/04/20,2317,444,2761
03/04/20,2320,486,2806
04/04/20,2321,489,2810
05/04/20,2326,764,3090
06/04/20,2326,479,2805
07/04/20,2620,475,3095
08/04/20,2620,485,3105
09/04/20,3129,547,3676
10/04/20,3175,571,3746
11/04/20,3175,500,3675
12/04/20,3175,497,3672
13-04-2020,3175,541,3716
14-04-2020,3175,550,3725
15-04-2020,3175,546,3721
17-04-2020,3174,536,3710
18-04-2020,3174,545,3719
19-04-2020,3174,545,3719
20-04-2020,3174,511,3685
21-04-2020,3174,512,3686
22-04-2020,3174,506,3680
23-04-2020,3174,506,3680
24-04-2020,3174,522,3696
25-04-2020,3174,592,3766
